"","Year","CPI","GDPdeflator","population.K","realGDPperCapita","executive","war","battleDeaths","battleDeathsPMP","Keynes","unemployment","unempSource"
"1610",1610,NA,NA,0.35,NA,"JamesI","",NA,NA,0,NA,NA
"1620",1620,NA,NA,2.302,NA,"JamesI","",NA,NA,0,NA,NA
"1630",1630,NA,NA,4.646,NA,"CharlesI","",NA,NA,0,NA,NA
"1640",1640,NA,NA,26.634,NA,"CharlesI","",NA,NA,0,NA,NA
"1650",1650,NA,NA,50.368,NA,"Cromwell","",NA,NA,0,NA,NA
"1660",1660,NA,NA,75.058,NA,"CharlesII","",NA,NA,0,NA,NA
"1670",1670,NA,NA,111.935,NA,"JamesII","",NA,NA,0,NA,NA
"1680",1680,NA,NA,151.507,NA,"JamesII","",NA,NA,0,NA,NA
"1690",1690,NA,NA,210.372,NA,"WilliamIII","",NA,NA,0,NA,NA
"1700",1700,NA,NA,250.888,NA,"WilliamIII","",NA,NA,0,NA,NA
"1710",1710,NA,NA,331.711,NA,"Anne","",NA,NA,0,NA,NA
"1720",1720,NA,NA,466.185,NA,"GeorgeI","",NA,NA,0,NA,NA
"1730",1730,NA,NA,629.445,NA,"GeorgeII","",NA,NA,0,NA,NA
"1740",1740,NA,NA,905.563,NA,"GeorgeII","",NA,NA,0,NA,NA
"1750",1750,NA,NA,1170.76,NA,"GeorgeII","",NA,NA,0,NA,NA
"1760",1760,NA,NA,1593.625,NA,"GeorgeIII","",NA,NA,0,NA,NA
"1770",1770,NA,NA,2148.076,NA,"GeorgeIII","",NA,NA,0,NA,NA
"1774",1774,7.82,NA,NA,NA,"GeorgeIII","",0,NA,0,NA,NA
"1775",1775,7.41,NA,NA,NA,"ContinentalCongress","American Revolution",573.13,NA,0,NA,NA
"1776",1776,8.46,NA,NA,NA,"ContinentalCongress","American Revolution",816.2,NA,0,NA,NA
"1777",1777,10.31,NA,NA,NA,"ContinentalCongress","American Revolution",813.97,NA,0,NA,NA
"1778",1778,13.38,NA,NA,NA,"ContinentalCongress","American Revolution",813.97,NA,0,NA,NA
"1779",1779,11.84,NA,NA,NA,"ContinentalCongress","American Revolution",813.97,NA,0,NA,NA
"1780",1780,13.29,NA,2780.37,NA,"ContinentalCongress","American Revolution",816.2,293.56,0,NA,NA
"1781",1781,10.72,NA,NA,NA,"ArticlesOfConfederation","American Revolution",813.97,NA,0,NA,NA
"1782",1782,11.76,NA,NA,NA,"ArticlesOfConfederation","American Revolution",813.97,NA,0,NA,NA
"1783",1783,10.31,NA,NA,NA,"ArticlesOfConfederation","American Revolution",548.6,NA,0,NA,NA
"1784",1784,9.91,NA,NA,NA,"ArticlesOfConfederation","",0,NA,0,NA,NA
"1785",1785,9.43,NA,NA,NA,"ArticlesOfConfederation","Northwest Indian War",109.5,NA,0,NA,NA
"1786",1786,9.19,NA,NA,NA,"ArticlesOfConfederation","Northwest Indian War",115.85,NA,0,NA,NA
"1787",1787,9.02,NA,NA,NA,"ArticlesOfConfederation","Northwest Indian War",115.85,NA,0,NA,NA
"1788",1788,8.62,NA,NA,NA,"ArticlesOfConfederation","Northwest Indian War",116.16,NA,0,NA,NA
"1789",1789,8.54,NA,NA,NA,"Washington","Northwest Indian War",115.85,NA,0,NA,NA
"1790",1790,8.86,4.34,3929,1107.32,"Washington","Northwest Indian War",115.85,29.49,0,NA,NA
"1791",1791,9.1,4.46,4048,1139.28,"Washington","Northwest Indian War",115.85,28.62,0,NA,NA
"1792",1792,9.27,4.54,4172,1186.84,"Washington","Northwest Indian War",116.16,27.84,0,NA,NA
"1793",1793,9.59,4.7,4299,1243.34,"Washington","Northwest Indian War",115.85,26.95,0,NA,NA
"1794",1794,10.64,5.21,4429,1366.45,"Washington","Northwest Indian War",115.85,26.16,0,NA,NA
"1795",1795,12.17,5.96,4563,1410.4,"Washington","Northwest Indian War",68.24,14.95,0,NA,NA
"1796",1796,12.81,6.27,4701,1412.53,"Washington","",0,0,0,NA,NA
"1797",1797,12.33,6.04,4844,1398.33,"JAdams","",0,0,0,NA,NA
"1798",1798,11.92,5.84,4990,1415.67,"JAdams","",0,0,0,NA,NA
"1799",1799,11.92,5.84,5141,1471.05,"JAdams","",0,0,0,NA,NA
"1800",1800,12.17,6.01,5297,1509.06,"JAdams","",0,0,0,0.02,"Lebergott"
"1801",1801,12.33,6.13,5461,1535.08,"Jefferson","",0,0,0,0.02,"Lebergott"
"1802",1802,10.39,5.21,5632,1535.28,"Jefferson","",0,0,0,0.02,"Lebergott"
"1803",1803,10.96,5.54,5809,1513.74,"Jefferson","",0,0,0,0.02,"Lebergott"
"1804",1804,11.44,5.83,5991,1524.74,"Jefferson","",0,0,0,0.02,"Lebergott"
"1805",1805,11.36,5.83,6180,1556.43,"Jefferson","",0,0,0,0.02,"Lebergott"
"1806",1806,11.84,6.13,6379,1579.17,"Jefferson","",0,0,0,0.02,"Lebergott"
"1807",1807,11.2,5.84,6588,1530.49,"Jefferson","",0,0,0,0.02,"Lebergott"
"1808",1808,12.17,6.39,6797,1486.74,"Jefferson","",0,0,0,0.02,"Lebergott"
"1809",1809,11.92,6.31,7009,1552.07,"Madison","",0,0,0,0.02,"Lebergott"
"1810",1810,11.92,6.15,7224,1589.31,"Madison","",0,0,0,0.02,"Lebergott"
"1811",1811,12.73,6.39,7436,1614.19,"Madison","",0,0,0,0.02,"Lebergott"
"1812",1812,12.89,6.3,7651,1631.42,"Madison","War of 1812",444.06,58.04,0,0.02,"Lebergott"
"1813",1813,15.47,7.35,7867,1676.92,"Madison","War of 1812",822.75,104.58,0,0.02,"Lebergott"
"1814",1814,17,7.84,8085,1699.98,"Madison","War of 1812",822.75,101.76,0,0.02,"Lebergott"
"1815",1815,14.91,6.68,8308,1667.65,"Madison","War of 1812",110.45,13.29,0,0.02,"Lebergott"
"1816",1816,13.62,5.91,8540,1622.25,"Madison","",0,0,0,0.02,"Lebergott"
"1817",1817,12.89,5.42,8790,1612.73,"Monroe","",0,0,0,0.02,"Lebergott"
"1818",1818,12.33,5.02,9057,1622.02,"Monroe","",0,0,0,0.02,"Lebergott"
"1819",1819,12.33,4.85,9335,1604.18,"Monroe","",0,0,0,0.04,"Lebergott"
"1820",1820,11.36,4.56,9618,1619.22,"Monroe","",0,0,0,0.02,"Lebergott"
"1821",1821,10.96,4.48,9899,1656.99,"Monroe","",0,0,0,0.02,"Lebergott"
"1822",1822,11.36,4.73,10189,1670.87,"Monroe","",0,0,0,0.02,"Lebergott"
"1823",1823,10.15,4.3,10488,1681.97,"Monroe","",0,0,0,0.02,"Lebergott"
"1824",1824,9.35,4.03,10795,1731.03,"Monroe","",0,0,0,0.02,"Lebergott"
"1825",1825,9.59,4.21,11115,1756.41,"JQAdams","",0,0,0,0.02,"Lebergott"
"1826",1826,9.59,4.28,11449,1765.8,"JQAdams","",0,0,0,0.02,"Lebergott"
"1827",1827,9.67,4.39,11797,1766.86,"JQAdams","",0,0,0,0.02,"Lebergott"
"1828",1828,9.19,4.24,12158,1737.58,"JQAdams","",0,0,0,0.02,"Lebergott"
"1829",1829,9.02,4.24,12525,1750.79,"Jackson","",0,0,0,0.02,"Lebergott"
"1830",1830,8.94,4.27,12901,1856.05,"Jackson","",0,0,0,0.02,"Lebergott"
"1831",1831,8.38,4.06,13277,1952.39,"Jackson","",0,0,0,0.02,"Lebergott"
"1832",1832,8.3,4.08,13676,2023.52,"Jackson","",0,0,0,0.02,"Lebergott"
"1833",1833,8.14,4.06,14086,2025.12,"Jackson","",0,0,0,0.02,"Lebergott"
"1834",1834,8.3,4.2,14504,1999.84,"Jackson","",0,0,0,0.02,"Lebergott"
"1835",1835,8.54,4.39,14917,2047.65,"Jackson","",0,0,0,0.02,"Lebergott"
"1836",1836,9.02,4.7,15340,2050.11,"Jackson","",0,0,0,0.02,"Lebergott"
"1837",1837,9.27,4.9,15790,2009.95,"VanBuren","",0,0,0,0.02,"Lebergott"
"1838",1838,9.02,4.83,16224,2037.1,"VanBuren","",0,0,0,0.07,"Lebergott"
"1839",1839,9.02,4.9,16656,2035.24,"VanBuren","",0,0,0,0.02,"Lebergott"
"1840",1840,8.38,4.63,17120,1985.49,"VanBuren","",0,0,0,0.045,"Lebergott"
"1841",1841,8.46,4.75,17612,1973.28,"Tyler","",0,0,0,0.045,"Lebergott"
"1842",1842,7.9,4.51,18124,1978.82,"Tyler","",0,0,0,0.045,"Lebergott"
"1843",1843,7.17,4.16,18641,2019.28,"Tyler","",0,0,0,0.045,"Lebergott"
"1844",1844,7.25,4.28,19157,2076.5,"Tyler","",0,0,0,0.045,"Lebergott"
"1845",1845,7.33,4.4,19708,2146.22,"Polk","",0,0,0,0.045,"Lebergott"
"1846",1846,7.41,4.51,20313,2251.54,"Polk","Mexican-American",6563.06,323.1,0,0.045,"Lebergott"
"1847",1847,7.98,4.93,20987,2327.55,"Polk","Mexican-American",6719.94,320.2,0,0.045,"Lebergott"
"1848",1848,7.65,4.81,21706,2326.31,"Polk","",0,0,0,0.045,"Lebergott"
"1849",1849,7.41,4.72,22464,2279.05,"Taylor-Filmore","",0,0,0,0.045,"Lebergott"
"1850",1850,7.57,4.82,23261,2303.2,"Taylor-Filmore","",0,0,0,0.045,"Lebergott"
"1851",1851,7.41,4.71,24095,2402.44,"Taylor-Filmore","",0,0,0,0.045,"Lebergott"
"1852",1852,7.49,4.75,24999,2582.97,"Taylor-Filmore","",0,0,0,0.045,"Lebergott"
"1853",1853,7.49,4.74,25911,2695.84,"Pierce","",0,0,0,0.045,"Lebergott"
"1854",1854,8.14,5.14,26856,2690.78,"Pierce","",0,0,0,0.045,"Lebergott"
"1855",1855,8.38,5.28,27727,2714.95,"Pierce","",0,0,0,0.045,"Lebergott"
"1856",1856,8.22,5.17,28497,2747.65,"Pierce","",0,0,0,0.045,"Lebergott"
"1857",1857,8.46,5.31,29298,2686.24,"Buchanan","",0,0,0,0.045,"Lebergott"
"1858",1858,7.98,5,30068,2723.35,"Buchanan","",0,0,0,0.07,"Lebergott"
"1859",1859,8.06,5.04,30780,2852.99,"Buchanan","",0,0,0,0.045,"Lebergott"
"1860",1860,8.06,4.95,31513,2815.12,"Buchanan","",0,0,0,0.045,"Lebergott"
"1861",1861,8.54,5.14,32215,2802.83,"Lincoln","U.S. Civil War",65544.15,2034.58,0,0.045,"Lebergott"
"1862",1862,9.75,5.76,32889,3086.54,"Lincoln","U.S. Civil War",89938.4,2734.6,0,0.045,"Lebergott"
"1863",1863,12.17,7.04,33607,3252.86,"Lincoln","U.S. Civil War",89940.55,2676.24,0,0.045,"Lebergott"
"1864",1864,15.23,8.64,34376,3216.16,"Lincoln","U.S. Civil War",90187.65,2623.56,0,0.045,"Lebergott"
"1865",1865,15.79,8.77,35182,3232.46,"AJohnson","U.S. Civil War",24394.25,693.37,0,0.045,"Lebergott"
"1866",1866,15.39,8.37,36052,3009.74,"AJohnson","",0,0,0,0.045,"Lebergott"
"1867",1867,14.34,7.63,36970,2985.35,"AJohnson","",0,0,0,0.045,"Lebergott"
"1868",1868,13.78,7.17,37885,3026.86,"AJohnson","",0,0,0,0.045,"Lebergott"
"1869",1869,13.21,6.72,38870,3030.43,"Grant","",0,0,0,0.045,"Lebergott"
"1870",1870,12.65,6.44,39905,3039.95,"Grant","",0,0,0,0.1,"Lebergott"
"1871",1871,11.84,6.03,41010,3098.76,"Grant","",0,0,0,0.1,"Lebergott"
"1872",1872,11.84,6.03,42066,3273.76,"Grant","",0,0,0,0.1,"Lebergott"
"1873",1873,11.6,5.91,43225,3457.76,"Grant","",0,0,0,0.1,"Lebergott"
"1874",1874,11.04,5.63,44429,3425.25,"Grant","",0,0,0,0.13,"Lebergott"
"1875",1875,10.64,5.42,45492,3339.25,"Grant","",0,0,0,0.13,"Lebergott"
"1876",1876,10.39,5.3,46459,3405.1,"Grant","",0,0,0,0.13,"Lebergott"
"1877",1877,10.15,5.18,47400,3503.57,"Hayes","",0,0,0,0.1,"Lebergott"
"1878",1878,9.67,4.94,48319,3547.37,"Hayes","",0,0,0,0.1,"Lebergott"
"1879",1879,9.67,4.94,49264,3884.85,"Hayes","",0,0,0,0.1,"Lebergott"
"1880",1880,9.91,5.05,50262,4123.29,"Hayes","",0,0,0,0.04,"Lebergott"
"1881",1881,9.91,5.04,51466,4530.36,"Arthur","",0,0,0,0.04,"Lebergott"
"1882",1882,9.91,5.02,52893,4642.06,"Arthur","",0,0,0,0.04,"Lebergott"
"1883",1883,9.71,4.93,54435,4635.31,"Arthur","",0,0,0,0.04,"Lebergott"
"1884",1884,9.51,4.79,55826,4445.29,"Arthur","",0,0,0,0.04,"Lebergott"
"1885",1885,9.32,4.7,57128,4359.02,"Cleveland","",0,0,0,0.075,"Lebergott"
"1886",1886,9.12,4.57,58258,4622.12,"Cleveland","",0,0,0,0.04,"Lebergott"
"1887",1887,9.22,4.6,59357,4866.1,"Cleveland","",0,0,0,0.04,"Lebergott"
"1888",1888,9.22,4.58,60614,5039.17,"Cleveland","",0,0,0,0.04,"Lebergott"
"1889",1889,8.92,4.45,61893,5076.84,"BHarrison","",0,0,0,0.04,"Lebergott"
"1890",1890,8.82,4.42,63056,5467.31,"BHarrison","",0,0,0,0.0397,"Romer"
"1891",1891,8.82,4.46,64432,5413.82,"BHarrison","",0,0,0,0.0477,"Romer"
"1892",1892,8.82,4.5,65920,5561.25,"BHarrison","",0,0,0,0.0372,"Romer"
"1893",1893,8.72,4.51,67470,5118.1,"Cleveland2","",0,0,0,0.0809,"Romer"
"1894",1894,8.34,4.34,68910,4773.64,"Cleveland2","",0,0,0,0.1233,"Romer"
"1895",1895,8.14,4.3,70076,5230.6,"Cleveland2","",0,0,0,0.1111,"Romer"
"1896",1896,8.14,4.34,71188,5063.82,"Cleveland2","",0,0,0,0.1196,"Romer"
"1897",1897,8.04,4.34,72441,5190.72,"McKinley","",0,0,0,0.1243,"Romer"
"1898",1898,8.04,4.38,73600,5667.58,"McKinley","Spanish-American-Philippine",2910,39.54,0,0.1162,"Romer"
"1899",1899,8.04,4.42,74793,5958.56,"McKinley","Spanish-American-Philippine",1195.43,15.98,0,0.0866,"Romer"
"1900",1900,8.14,4.55,76094,6003.9,"McKinley","Spanish-American-Philippine",1339.22,17.6,0,0.05,"Romer"
"1901",1901,8.24,4.67,77584,6201.16,"McKinley","Spanish-American-Philippine",1318.22,16.99,0,0.0459,"Romer"
"1902",1902,8.34,4.8,79163,6389.64,"TRoosevelt","Spanish-American-Philippine",668.14,8.44,0,0.043,"Romer"
"1903",1903,8.53,5.03,80632,6456.3,"TRoosevelt","",0,0,0,0.0435,"Romer"
"1904",1904,8.63,5.16,82166,6111.43,"TRoosevelt","",0,0,0,0.0508,"Romer"
"1905",1905,8.53,5.2,83822,6666.62,"TRoosevelt","",0,0,0,0.0462,"Romer"
"1906",1906,8.72,5.39,85450,6807.03,"TRoosevelt","",0,0,0,0.0329,"Romer"
"1907",1907,9.11,5.73,87008,6856.93,"TRoosevelt","",0,0,0,0.0357,"Romer"
"1908",1908,8.92,5.72,88710,5998.25,"TRoosevelt","",0,0,0,0.0617,"Romer"
"1909",1909,8.82,5.7,90490,6305.29,"Taft","",0,0,0,0.0513,"Romer"
"1910",1910,9.21,5.85,92407,6240.96,"Taft","",0,0,0,0.0586,"Romer"
"1911",1911,9.21,5.82,93863,6343.22,"Taft","",0,0,0,0.0627,"Romer"
"1912",1912,9.4,6.06,95335,6537.88,"Taft","",0,0,0,0.0525,"Romer"
"1913",1913,9.6,6.1,97225,6663.85,"Wilson","",0,0,0,0.0493,"Romer"
"1914",1914,9.69,6.16,99111,6036.54,"Wilson","",0,0,0,0.0663,"Romer"
"1915",1915,9.74,6.35,100546,6112.61,"Wilson","",0,0,0,0.0718,"Romer"
"1916",1916,10.64,7.16,101961,6863.63,"Wilson","",0,0,0,0.0563,"Romer"
"1917",1917,12.82,8.83,103414,6599.81,"Wilson","World War I",52575.07,508.39,0,0.0523,"Romer"
"1918",1918,15.06,10.29,104550,7116.87,"Wilson","World War I",64031.19,612.45,0,0.0338,"Romer"
"1919",1919,17.3,10.54,105063,7138.95,"Wilson","",0,0,0,0.0295,"Romer"
"1920",1920,20.04,12.01,106461,6979.36,"Wilson","",0,0,0,0.0516,"Romer"
"1921",1921,17.9,10.24,108538,6688.86,"Harding","",0,0,0,0.0873,"Romer"
"1922",1922,16.77,9.67,110049,6963.35,"Harding","",0,0,0,0.0693,"Romer"
"1923",1923,17.07,9.94,111947,7746.64,"Coolidge","",0,0,0,0.048,"Romer"
"1924",1924,17.1,9.82,114109,7833.88,"Coolidge","",0,0,0,0.058,"Romer"
"1925",1925,17.53,10,115829,7898.83,"Coolidge","",0,0,0,0.0492,"Romer"
"1926",1926,17.7,10.04,117397,8302.58,"Coolidge","",0,0,0,0.0402,"Romer"
"1927",1927,17.37,9.8,119035,8267.41,"Coolidge","",0,0,0,0.0457,"Romer"
"1928",1928,17.13,9.88,120509,8259.88,"Coolidge","",0,0,0,0.0502,"Romer"
"1929",1929,17.13,9.9,121878,8669,"Hoover","",0,0,0,0.0461,"Romer"
"1930",1930,16.7,9.54,123188,7847,"Hoover","",0,0,0,0.0894,"Romer"
"1931",1931,15.23,8.55,124149,7288,"Hoover","",0,0,0,0.13,"Coen"
"1932",1932,13.66,7.55,124949,6308,"Hoover","",0,0,0,0.188,"Coen"
"1933",1933,12.96,7.35,125690,6192,"FRoosevelt","",0,0,0,0.198,"Coen"
"1934",1934,13.39,7.75,126485,6817,"FRoosevelt","",0,0,0,0.213,"Coen"
"1935",1935,13.73,7.91,127362,7373,"FRoosevelt","",0,0,0,0.195,"Coen"
"1936",1936,13.86,8.01,128181,8273,"FRoosevelt","",0,0,0,0.166,"Coen"
"1937",1937,14.36,8.34,128961,8643,"FRoosevelt","",0,0,0,0.141,"Coen"
"1938",1938,14.09,8.11,129969,8292,"FRoosevelt","",0,0,0,0.178,"Coen"
"1939",1939,13.89,8.04,131028,8881,"FRoosevelt","",0,0,1,0.16,"Coen"
"1940",1940,14.03,8.13,132122,9583,"FRoosevelt","",0,0,1,0.146,"BLS"
"1941",1941,14.73,8.68,133402,11171,"FRoosevelt","World War II",7524.13,56.4,1,0.099,"BLS"
"1942",1942,16.3,9.37,134860,13138,"FRoosevelt","World War II",109852.26,814.57,1,0.047,"BLS"
"1943",1943,17.3,9.79,136739,15165,"FRoosevelt","World War II",109852.26,803.37,1,0.019,"BLS"
"1944",1944,17.6,10.03,138397,16181,"FRoosevelt","World War II",110153.23,795.92,1,0.012,"BLS"
"1945",1945,18,10.29,139928,15850,"Truman","World War II",68018.11,486.09,1,0.019,"BLS"
"1946",1946,19.54,11.62,141389,13869,"Truman","",0,0,1,0.039,"BLS"
"1947",1947,22.34,12.89,144126,13456,"Truman","",0,0,1,0.039,"BLS"
"1948",1948,24.08,13.6,146631,13776,"Truman","",0,0,1,0.038,"BLS"
"1949",1949,23.85,13.58,149188,13466,"Truman","",0,0,1,0.059,"BLS"
"1950",1950,24.08,13.75,151684,14398,"Truman","Korean",9089.22,59.92,1,0.053,"BLS"
"1951",1951,25.98,14.72,154287,15296,"Truman","Korean",17646.63,114.38,1,0.033,"BLS"
"1952",1952,26.55,14.97,156954,15649,"Truman","Korean",17694.98,112.74,1,0.03,"BLS"
"1953",1953,26.75,15.16,159565,16115,"Eisenhower","Korean",10056.16,63.02,1,0.029,"BLS"
"1954",1954,26.88,15.3,162391,15745,"Eisenhower","",0,0,1,0.055,"BLS"
"1955",1955,26.78,15.56,165275,16572,"Eisenhower","",0,0,1,0.044,"BLS"
"1956",1956,27.18,16.09,168221,16629,"Eisenhower","",0,0,1,0.041,"BLS"
"1957",1957,28.15,16.63,171274,16677,"Eisenhower","",0,0,1,0.043,"BLS"
"1958",1958,28.92,17,174141,16282,"Eisenhower","",0,0,1,0.068,"BLS"
"1959",1959,29.16,17.24,177130,17112,"Eisenhower","",0,0,1,0.055,"BLS"
"1960",1960,29.62,17.48,180760,17198,"Eisenhower","",0,0,1,0.055,"BLS"
"1961",1961,29.92,17.67,183742,17351,"Kennedy","",123.29,0.67,1,0.067,"BLS"
"1962",1962,30.26,17.89,186590,18131,"Kennedy","",123.29,0.66,1,0.055,"BLS"
"1963",1963,30.62,18.09,189300,18650,"LJohnson","",123.29,0.65,1,0.057,"BLS"
"1964",1964,31.03,18.37,191927,19455,"LJohnson","",157.66,0.82,1,0.052,"BLS"
"1965",1965,31.56,18.7,194347,20462,"LJohnson","Vietnam",6644.42,34.19,1,0.045,"BLS"
"1966",1966,32.46,19.23,196599,21561,"LJohnson","Vietnam",7347.66,37.37,1,0.038,"BLS"
"1967",1967,33.4,19.79,198752,21913,"LJohnson","Vietnam",7359.05,37.03,1,0.038,"BLS"
"1968",1968,34.8,20.63,200745,22760,"LJohnson","Vietnam",7388.86,36.81,1,0.036,"BLS"
"1969",1969,36.67,21.64,202736,23245,"Nixon","Vietnam",7360.31,36.3,1,0.035,"BLS"
"1970",1970,38.84,22.79,205089,23024,"Nixon","Vietnam",7431.86,36.24,1,0.049,"BLS"
"1971",1971,40.51,23.94,207692,23485,"Nixon","Vietnam",7501.82,36.12,1,0.059,"BLS"
"1972",1972,41.85,24.98,209924,24458,"Nixon","Vietnam",7557.57,36,1,0.056,"BLS"
"1973",1973,44.45,26.34,211939,25593,"Nixon","Vietnam",669.91,3.16,1,0.049,"BLS"
"1974",1974,49.33,28.7,213898,25227,"Nixon","",0,0,1,0.056,"BLS"
"1975",1975,53.84,31.36,215981,24935,"Ford","",0,0,1,0.085,"BLS"
"1976",1976,56.94,33.08,218086,26024,"Ford","",0,0,1,0.077,"BLS"
"1977",1977,60.61,35.14,220289,26951,"Carter","",0,0,1,0.071,"BLS"
"1978",1978,65.22,37.6,222629,28151,"Carter","",0,0,1,0.061,"BLS"
"1979",1979,72.57,40.71,225106,28725,"Carter","",0,0,1,0.058,"BLS"
"1980",1980,82.38,44.38,227726,28325,"Carter","",0,0,0,0.071,"BLS"
"1981",1981,90.93,48.52,230008,28772,"Reagan","",0,0,0,0.076,"BLS"
"1982",1982,96.5,51.53,232218,27953,"Reagan","",0,0,0,0.097,"BLS"
"1983",1983,99.6,53.56,234333,28984,"Reagan","",0,0,0,0.096,"BLS"
"1984",1984,103.9,55.47,236394,30817,"Reagan","",0,0,0,0.075,"BLS"
"1985",1985,107.6,57.24,238506,31839,"Reagan","",0,0,0,0.072,"BLS"
"1986",1986,109.6,58.4,240683,32659,"Reagan","",0,0,0,0.07,"BLS"
"1987",1987,113.6,59.89,242843,33489,"Reagan","",0,0,0,0.062,"BLS"
"1988",1988,118.3,61.98,245061,34581,"Reagan","",0,0,0,0.055,"BLS"
"1989",1989,124,64.39,247387,35517,"GHWBush","",0,0,0,0.053,"BLS"
"1990",1990,130.7,66.77,250181,35794,"GHWBush","",0,0,0,0.056,"BLS"
"1991",1991,136.2,69,253530,35295,"GHWBush","",0,0,0,0.068,"BLS"
"1992",1992,140.3,70.57,256922,36068,"GHWBush","",0,0,0,0.075,"BLS"
"1993",1993,144.5,72.25,260282,36580,"Clinton","",0,0,0,0.069,"BLS"
"1994",1994,148.2,73.79,263455,37598,"Clinton","",0,0,0,0.061,"BLS"
"1995",1995,152.4,75.32,266588,38167,"Clinton","",0,0,0,0.056,"BLS"
"1996",1996,156.9,76.7,269714,39156,"Clinton","",0,0,0,0.054,"BLS"
"1997",1997,160.5,78.01,272958,40427,"Clinton","",0,0,0,0.049,"BLS"
"1998",1998,163,78.86,276154,41737,"Clinton","",0,0,0,0.045,"BLS"
"1999",1999,166.6,80.07,279328,43196,"Clinton","",0,0,0,0.042,"BLS"
"2000",2000,172.2,81.89,282398,44475,"Clinton","",0,0,0,0.04,"BLS"
"2001",2001,177.1,83.75,285225,44464,"GWBush","",0,0,0,0.047,"BLS"
"2002",2002,179.9,85.04,287955,44829,"GWBush","",0,0,0,0.058,"BLS"
"2003",2003,184,86.74,290626,45664,"GWBush","",0,0,0,0.06,"BLS"
"2004",2004,188.9,89.12,293262,46967,"GWBush","",0,0,0,0.055,"BLS"
"2005",2005,195.3,91.99,295993,48090,"GWBush","",0,0,0,0.051,"BLS"
"2006",2006,201.6,94.81,298818,48905,"GWBush","",0,0,0,0.046,"BLS"
"2007",2007,207.34,97.34,301696,49300,"GWBush","",0,0,0,0.046,"BLS"
"2008",2008,215.3,99.25,304543,48697,"GWBush","",0,0,0,0.058,"BLS"
"2009",2009,214.54,100,307240,46930,"Obama","",0,0,0,0.093,"BLS"
"2010",2010,218.06,101.22,309808,47719,"Obama","",0,0,0,0.096,"BLS"
"2011",2011,224.94,103.31,312172,48116,"Obama","",0,0,0,0.089,"BLS"
"2012",2012,229.59,105.22,314499,48822,"Obama","",0,0,0,0.081,"BLS"
"2013",2013,232.96,106.93,316839,49184,"Obama","",0,0,0,0.074,"BLS"
"2014",2014,236.74,108.69,319173,50010,"Obama","",0,0,0,0.062,"BLS"
"2015",2015,237.02,109.78,321704,50820,"Obama","",0,0,0,0.053,"BLS"
