"","Tail_CH","Tail_RT","Tail_SS"
"1",220,219,157
"2",191,221,130
"3",230,235,164
"4",192,230,144
"5",232,212,136
"6",186,243,158
"7",220,210,122
"8",224,238,133
"9",182,222,154
"10",185,217,155
"11",210,213,152
"12",213,238,135
"13",221,243,155
"14",198,232,160
"15",215,238,137
"16",160,202,127
"17",202,227,150
"18",225,227,150
"19",158,222,129
"20",226,237,133
"21",221,238,136
"22",157,213,137
"23",227,211,126
"24",184,190,137
"25",193,245,160
"26",196,246,140
"27",227,207,133
"28",208,209,136
"29",190,200,151
"30",185,215,131
"31",195,219,134
"32",215,198,155
"33",212,207,150
"34",206,204,164
"35",180,205,159
"36",187,230,160
"37",219,227,157
"38",179,208,160
"39",223,231,164
"40",203,222,160
"41",185,225,125
"42",192,225,154
"43",195,233,151
"44",192,214,158
"45",198,233,153
"46",214,245,131
"47",218,210,145
"48",209,229,165
"49",216,235,168
"50",193,221,156
"51",216,210,164
"52",200,212,155
"53",205,225,159
"54",192,215,156
"55",233,235,145
"56",181,209,132
"57",196,212,138
"58",213,209,153
"59",185,250,186
"60",212,235,178
"61",214,222,158
"62",183,236,133
"63",183,210,125
"64",188,239,158
"65",211,228,159
"66",187,220,132
"67",201,233,136
"68",185,236,137
"69",186,216,155
"70",184,233,155
"71",NA,248,138
"72",NA,221,130
"73",NA,227,154
"74",NA,223,132
"75",NA,219,215
"76",NA,225,218
"77",NA,238,135
"78",NA,235,221
"79",NA,222,162
"80",NA,238,150
"81",NA,229,155
"82",NA,227,149
"83",NA,245,158
"84",NA,223,148
"85",NA,210,138
"86",NA,234,158
"87",NA,219,165
"88",NA,216,160
"89",NA,230,139
"90",NA,223,144
"91",NA,220,125
"92",NA,241,135
"93",NA,223,170
"94",NA,238,146
"95",NA,235,161
"96",NA,240,137
"97",NA,220,143
"98",NA,218,128
"99",NA,234,161
"100",NA,232,131
"101",NA,221,150
"102",NA,220,136
"103",NA,232,160
"104",NA,214,135
"105",NA,225,146
"106",NA,238,155
"107",NA,238,159
"108",NA,229,132
"109",NA,202,130
"110",NA,226,161
"111",NA,220,169
"112",NA,215,164
"113",NA,122,153
"114",NA,215,151
"115",NA,208,154
"116",NA,211,169
"117",NA,220,153
"118",NA,204,137
"119",NA,229,132
"120",NA,205,155
"121",NA,244,135
"122",NA,225,124
"123",NA,239,149
"124",NA,222,154
"125",NA,209,150
"126",NA,211,147
"127",NA,216,130
"128",NA,250,153
"129",NA,260,132
"130",NA,217,123
"131",NA,228,192
"132",NA,218,132
"133",NA,220,162
"134",NA,227,152
"135",NA,211,127
"136",NA,222,122
"137",NA,225,124
"138",NA,221,158
"139",NA,231,150
"140",NA,235,133
"141",NA,235,127
"142",NA,200,127
"143",NA,216,133
"144",NA,223,135
"145",NA,210,131
"146",NA,229,157
"147",NA,226,137
"148",NA,207,163
"149",NA,238,136
"150",NA,197,142
"151",NA,250,154
"152",NA,215,156
"153",NA,214,160
"154",NA,230,149
"155",NA,213,131
"156",NA,214,137
"157",NA,224,126
"158",NA,215,165
"159",NA,239,129
"160",NA,214,156
"161",NA,232,135
"162",NA,205,129
"163",NA,243,131
"164",NA,255,160
"165",NA,276,152
"166",NA,210,132
"167",NA,231,157
"168",NA,216,119
"169",NA,210,130
"170",NA,220,124
"171",NA,260,130
"172",NA,200,140
"173",NA,230,159
"174",NA,220,138
"175",NA,220,159
"176",NA,235,136
"177",NA,215,132
"178",NA,215,131
"179",NA,221,162
"180",NA,225,163
"181",NA,238,154
"182",NA,212,161
"183",NA,215,157
"184",NA,235,158
"185",NA,229,156
"186",NA,251,133
"187",NA,215,165
"188",NA,225,153
"189",NA,210,135
"190",NA,267,129
"191",NA,220,132
"192",NA,238,131
"193",NA,248,156
"194",NA,241,139
"195",NA,212,159
"196",NA,221,154
"197",NA,233,131
"198",NA,230,156
"199",NA,223,145
"200",NA,226,156
"201",NA,208,130
"202",NA,231,130
"203",NA,217,147
"204",NA,230,141
"205",NA,225,156
"206",NA,226,153
"207",NA,214,131
"208",NA,242,155
"209",NA,220,165
"210",NA,250,132
"211",NA,220,135
"212",NA,240,134
"213",NA,230,136
"214",NA,220,154
"215",NA,234,163
"216",NA,226,151
"217",NA,218,155
"218",NA,209,156
"219",NA,228,136
"220",NA,235,158
"221",NA,223,161
"222",NA,245,153
"223",NA,235,152
"224",NA,221,163
"225",NA,216,125
"226",NA,216,134
"227",NA,200,162
"228",NA,216,123
"229",NA,221,131
"230",NA,196,143
"231",NA,210,129
"232",NA,220,125
"233",NA,220,150
"234",NA,221,158
"235",NA,242,141
"236",NA,220,162
"237",NA,210,131
"238",NA,221,132
"239",NA,236,133
"240",NA,235,156
"241",NA,231,163
"242",NA,227,134
"243",NA,238,160
"244",NA,225,158
"245",NA,249,122
"246",NA,213,137
"247",NA,240,147
"248",NA,231,135
"249",NA,227,159
"250",NA,223,136
"251",NA,228,129
"252",NA,242,121
"253",NA,247,134
"254",NA,267,152
"255",NA,257,153
"256",NA,221,156
"257",NA,214,158
"258",NA,229,157
"259",NA,213,157
"260",NA,213,158
"261",NA,201,150
"262",NA,216,NA
"263",NA,244,NA
"264",NA,230,NA
"265",NA,227,NA
"266",NA,233,NA
"267",NA,240,NA
"268",NA,237,NA
"269",NA,210,NA
"270",NA,225,NA
"271",NA,246,NA
"272",NA,225,NA
"273",NA,230,NA
"274",NA,220,NA
"275",NA,230,NA
"276",NA,233,NA
"277",NA,232,NA
"278",NA,234,NA
"279",NA,239,NA
"280",NA,230,NA
"281",NA,213,NA
"282",NA,207,NA
"283",NA,214,NA
"284",NA,217,NA
"285",NA,216,NA
"286",NA,214,NA
"287",NA,216,NA
"288",NA,222,NA
"289",NA,288,NA
"290",NA,238,NA
"291",NA,199,NA
"292",NA,235,NA
"293",NA,219,NA
"294",NA,236,NA
"295",NA,225,NA
"296",NA,223,NA
"297",NA,225,NA
"298",NA,241,NA
"299",NA,210,NA
"300",NA,223,NA
"301",NA,219,NA
"302",NA,229,NA
"303",NA,211,NA
"304",NA,204,NA
"305",NA,204,NA
"306",NA,214,NA
"307",NA,236,NA
"308",NA,247,NA
"309",NA,227,NA
"310",NA,225,NA
"311",NA,220,NA
"312",NA,215,NA
"313",NA,226,NA
"314",NA,227,NA
"315",NA,236,NA
"316",NA,210,NA
"317",NA,226,NA
"318",NA,242,NA
"319",NA,221,NA
"320",NA,220,NA
"321",NA,219,NA
"322",NA,225,NA
"323",NA,221,NA
"324",NA,215,NA
"325",NA,223,NA
"326",NA,219,NA
"327",NA,235,NA
"328",NA,216,NA
"329",NA,130,NA
"330",NA,223,NA
"331",NA,221,NA
"332",NA,220,NA
"333",NA,186,NA
"334",NA,217,NA
"335",NA,209,NA
"336",NA,215,NA
"337",NA,214,NA
"338",NA,207,NA
"339",NA,210,NA
"340",NA,224,NA
"341",NA,200,NA
"342",NA,207,NA
"343",NA,212,NA
"344",NA,226,NA
"345",NA,232,NA
"346",NA,228,NA
"347",NA,205,NA
"348",NA,228,NA
"349",NA,237,NA
"350",NA,230,NA
"351",NA,219,NA
"352",NA,223,NA
"353",NA,210,NA
"354",NA,222,NA
"355",NA,201,NA
"356",NA,234,NA
"357",NA,204,NA
"358",NA,204,NA
"359",NA,224,NA
"360",NA,229,NA
"361",NA,222,NA
"362",NA,214,NA
"363",NA,219,NA
"364",NA,230,NA
"365",NA,230,NA
"366",NA,217,NA
"367",NA,225,NA
"368",NA,229,NA
"369",NA,215,NA
"370",NA,247,NA
"371",NA,222,NA
"372",NA,220,NA
"373",NA,234,NA
"374",NA,248,NA
"375",NA,221,NA
"376",NA,218,NA
"377",NA,225,NA
"378",NA,215,NA
"379",NA,225,NA
"380",NA,244,NA
"381",NA,232,NA
"382",NA,238,NA
"383",NA,231,NA
"384",NA,218,NA
"385",NA,223,NA
"386",NA,197,NA
"387",NA,195,NA
"388",NA,206,NA
"389",NA,213,NA
"390",NA,222,NA
"391",NA,227,NA
"392",NA,235,NA
"393",NA,228,NA
"394",NA,219,NA
"395",NA,231,NA
"396",NA,209,NA
"397",NA,237,NA
"398",NA,210,NA
"399",NA,215,NA
"400",NA,217,NA
"401",NA,207,NA
"402",NA,211,NA
"403",NA,225,NA
"404",NA,223,NA
"405",NA,218,NA
"406",NA,222,NA
"407",NA,235,NA
"408",NA,208,NA
"409",NA,216,NA
"410",NA,217,NA
"411",NA,219,NA
"412",NA,235,NA
"413",NA,212,NA
"414",NA,211,NA
"415",NA,201,NA
"416",NA,200,NA
"417",NA,217,NA
"418",NA,223,NA
"419",NA,199,NA
"420",NA,217,NA
"421",NA,207,NA
"422",NA,222,NA
"423",NA,217,NA
"424",NA,200,NA
"425",NA,220,NA
"426",NA,216,NA
"427",NA,216,NA
"428",NA,222,NA
"429",NA,213,NA
"430",NA,226,NA
"431",NA,210,NA
"432",NA,235,NA
"433",NA,222,NA
"434",NA,223,NA
"435",NA,223,NA
"436",NA,216,NA
"437",NA,207,NA
"438",NA,218,NA
"439",NA,215,NA
"440",NA,224,NA
"441",NA,242,NA
"442",NA,237,NA
"443",NA,221,NA
"444",NA,243,NA
"445",NA,222,NA
"446",NA,208,NA
"447",NA,245,NA
"448",NA,206,NA
"449",NA,220,NA
"450",NA,217,NA
"451",NA,210,NA
"452",NA,196,NA
"453",NA,206,NA
"454",NA,218,NA
"455",NA,210,NA
"456",NA,224,NA
"457",NA,218,NA
"458",NA,213,NA
"459",NA,235,NA
"460",NA,206,NA
"461",NA,206,NA
"462",NA,207,NA
"463",NA,230,NA
"464",NA,224,NA
"465",NA,218,NA
"466",NA,215,NA
"467",NA,226,NA
"468",NA,242,NA
"469",NA,212,NA
"470",NA,201,NA
"471",NA,234,NA
"472",NA,220,NA
"473",NA,225,NA
"474",NA,214,NA
"475",NA,230,NA
"476",NA,220,NA
"477",NA,209,NA
"478",NA,225,NA
"479",NA,226,NA
"480",NA,230,NA
"481",NA,233,NA
"482",NA,235,NA
"483",NA,226,NA
"484",NA,231,NA
"485",NA,225,NA
"486",NA,205,NA
"487",NA,226,NA
"488",NA,230,NA
"489",NA,238,NA
"490",NA,217,NA
"491",NA,227,NA
"492",NA,230,NA
"493",NA,217,NA
"494",NA,216,NA
"495",NA,215,NA
"496",NA,199,NA
"497",NA,210,NA
"498",NA,217,NA
"499",NA,212,NA
"500",NA,223,NA
"501",NA,215,NA
"502",NA,218,NA
"503",NA,221,NA
"504",NA,215,NA
"505",NA,218,NA
"506",NA,204,NA
"507",NA,218,NA
"508",NA,216,NA
"509",NA,220,NA
"510",NA,230,NA
"511",NA,213,NA
"512",NA,220,NA
"513",NA,215,NA
"514",NA,214,NA
"515",NA,215,NA
"516",NA,217,NA
"517",NA,219,NA
"518",NA,215,NA
"519",NA,211,NA
"520",NA,234,NA
"521",NA,208,NA
"522",NA,226,NA
"523",NA,228,NA
"524",NA,221,NA
"525",NA,223,NA
"526",NA,232,NA
"527",NA,230,NA
"528",NA,225,NA
"529",NA,224,NA
"530",NA,215,NA
"531",NA,237,NA
"532",NA,253,NA
"533",NA,196,NA
"534",NA,217,NA
"535",NA,227,NA
"536",NA,220,NA
"537",NA,227,NA
"538",NA,238,NA
"539",NA,220,NA
"540",NA,212,NA
"541",NA,197,NA
"542",NA,230,NA
"543",NA,233,NA
"544",NA,140,NA
"545",NA,218,NA
"546",NA,222,NA
"547",NA,233,NA
"548",NA,222,NA
"549",NA,203,NA
"550",NA,218,NA
"551",NA,242,NA
"552",NA,205,NA
"553",NA,236,NA
"554",NA,233,NA
"555",NA,211,NA
"556",NA,217,NA
"557",NA,218,NA
"558",NA,241,NA
"559",NA,218,NA
"560",NA,208,NA
"561",NA,212,NA
"562",NA,203,NA
"563",NA,218,NA
"564",NA,196,NA
"565",NA,217,NA
"566",NA,212,NA
"567",NA,237,NA
"568",NA,206,NA
"569",NA,201,NA
"570",NA,224,NA
"571",NA,199,NA
"572",NA,219,NA
"573",NA,217,NA
"574",NA,224,NA
"575",NA,211,NA
"576",NA,207,NA
"577",NA,222,NA
