"","injury.1998","age.1998","airbag.1998","restraint.1998","sex.1998","any.1998","totnum.1998","injury.1999","age.1999","airbag.1999","restraint.1999","sex.1999","any.1999","totnum.1999","injury.2000","age.2000","airbag.2000","restraint.2000","sex.2000","any.2000","totnum.2000","injury.2001","age.2001","airbag.2001","restraint.2001","sex.2001","any.2001","totnum.2001","injury.2002","age.2002","airbag.2002","restraint.2002","sex.2002","any.2002","totnum.2002","injury.2003","age.2003","airbag.2003","restraint.2003","sex.2003","any.2003","totnum.2003","injury.2004","age.2004","airbag.2004","restraint.2004","sex.2004","any.2004","totnum.2004","injury.2005","age.2005","airbag.2005","restraint.2005","sex.2005","any.2005","totnum.2005","injury.2006","age.2006","airbag.2006","restraint.2006","sex.2006","any.2006","totnum.2006","injury.2007","age.2007","airbag.2007","restraint.2007","sex.2007","any.2007","totnum.2007","injury.2008","age.2008","airbag.2008","restraint.2008","sex.2008","any.2008","totnum.2008","injury.2009","age.2009","airbag.2009","restraint.2009","sex.2009","any.2009","totnum.2009","injury.2010","age.2010","airbag.2010","restraint.2010","sex.2010","any.2010","totnum.2010"
"1",2,54,23,42,56,97,1254,0,53,1,46,53,98,1254,0,49,1,33,49,81,1121,0,43,3,34,43,77,1066,4,48,62,35,48,128,1130,1,67,4,33,64,89,1088,1,60,13,17,59,81,1227,0,51,37,35,50,100,1236,0,65,15,21,64,89,1228,0,58,29,40,55,99,1146,3,49,6,22,46,69,995,0,67,23,24,18,93,875,0,61,14,30,7,92,926
"2",0,0,1,1,0,2,60,0,0,0,3,0,3,73,0,0,1,3,0,4,80,0,1,2,6,0,9,88,0,1,0,4,0,5,71,1,0,31,13,0,38,82,1,1,3,9,0,13,68,0,1,0,4,0,5,68,0,0,2,3,0,4,70,0,0,8,5,0,10,63,0,0,1,0,0,1,68,0,0,16,5,0,17,61,0,0,4,3,0,6,56
"4",16,22,31,133,12,151,1007,13,25,12,136,8,151,1063,27,34,9,146,16,152,995,25,29,17,151,12,159,1128,30,45,21,183,17,203,1205,32,40,23,140,24,153,1136,22,34,40,153,16,183,1192,12,14,23,107,4,131,1094,18,18,32,122,9,134,1237,9,16,13,154,10,161,1088,7,11,9,94,5,99,899,4,10,46,84,2,111,667,10,7,105,64,1,95,664
"5",0,1,479,44,0,484,585,0,0,440,51,0,443,527,4,3,141,58,1,186,584,0,4,4,31,0,39,544,2,1,1,46,1,47,587,1,1,0,53,0,53,532,1,3,49,49,0,99,693,1,2,22,58,2,75,546,0,1,16,57,0,70,604,2,3,5,50,1,54,577,1,3,0,36,1,37,523,0,1,13,39,0,52,507,0,2,20,37,2,43,472
"6",75,104,125,574,63,629,4029,58,66,50,557,33,583,3890,54,70,45,649,41,673,4282,70,87,70,723,50,755,4592,60,69,39,766,40,783,4715,56,78,57,778,55,790,4878,38,37,29,479,19,489,4624,60,60,61,433,37,466,4789,62,56,41,425,32,441,4679,54,55,64,344,25,389,4411,33,32,26,239,16,258,3752,29,29,147,195,14,299,3412,22,19,150,197,11,277,2851
"8",1,8,3,11,5,20,703,1,1,2,8,1,11,692,1,6,0,6,1,10,746,4,5,1,14,4,16,797,3,11,3,10,4,20,824,2,2,2,6,2,8,719,3,4,6,12,3,18,764,0,2,0,15,2,17,692,0,2,6,15,0,22,521,0,2,0,28,2,30,607,0,3,0,35,2,36,533,0,5,4,23,2,29,507,0,0,5,19,0,22,450
"9",5,4,5,64,1,68,406,2,5,4,64,3,68,400,4,4,4,53,1,54,399,4,2,1,50,0,51,399,4,3,7,61,4,63,396,3,3,3,62,4,63,384,5,7,1,49,3,37,334,2,2,3,56,2,57,368,4,9,1,67,2,68,382,0,1,3,52,5,56,365,1,5,3,50,3,54,347,1,0,8,48,0,50,253,0,3,21,61,5,70,339
"10",0,0,18,7,0,22,142,0,3,9,6,0,16,117,2,7,28,15,1,36,186,0,1,10,11,0,15,180,2,3,25,15,1,27,157,2,2,16,13,0,24,216,0,0,10,3,0,12,169,0,0,3,6,0,7,150,2,0,1,2,0,3,158,0,0,5,6,0,9,127,3,4,6,9,3,12,112,1,1,2,6,0,6,137,1,0,23,7,0,25,107
"11",5,3,4,18,1,20,74,0,2,3,12,1,13,54,2,3,3,20,1,20,59,1,3,10,31,2,32,83,2,4,10,30,1,34,73,1,4,7,26,1,31,101,1,6,3,23,0,25,62,3,3,4,9,2,10,49,1,2,2,6,2,7,45,1,0,0,5,0,5,42,1,1,2,11,1,12,35,2,2,2,17,2,17,35,0,0,0,8,0,8,24
"12",5,26,580,64,11,633,3544,5,28,15,68,13,94,3619,8,40,16,68,21,87,3498,13,62,51,77,33,111,3619,11,92,60,75,45,120,3643,16,93,75,96,49,128,3507,12,64,42,67,28,111,3480,9,39,60,118,10,194,3801,8,39,14,145,11,167,3629,4,38,52,92,10,152,3343,2,41,137,63,7,216,3096,0,13,433,64,6,483,2663,6,18,388,75,11,365,2678
"13",3,10,12,249,1,262,1767,4,14,1,180,0,193,1736,4,20,1,178,3,192,1762,4,14,3,258,2,271,1929,6,25,6,208,6,222,1710,6,15,3,216,6,227,1756,5,19,6,242,4,252,1854,3,13,2,223,2,230,1887,4,18,1,214,2,223,1819,2,14,1,173,1,182,1743,3,25,6,166,6,180,1495,4,11,61,142,4,193,1269,4,16,22,113,4,129,1262
"15",0,0,5,13,0,18,146,0,1,1,11,1,11,110,0,1,17,14,0,4,161,0,5,37,29,1,60,159,0,0,18,9,0,26,123,0,2,8,5,0,15,145,0,0,4,22,0,22,132,0,1,1,11,0,13,117,0,2,7,19,0,21,140,4,0,4,12,0,14,120,0,0,1,10,0,11,97,1,0,4,14,0,15,90,1,0,13,23,0,11,108
"16",0,2,58,7,0,64,252,1,6,1,14,0,19,278,2,2,4,9,1,13,261,0,1,86,6,0,90,234,0,1,13,9,0,21,249,0,2,0,5,0,7,262,1,1,0,8,0,9,248,0,1,0,4,0,5,249,0,0,0,12,0,12,229,0,1,2,7,1,8,197,0,0,0,3,0,3,216,3,2,46,7,1,46,188,0,0,33,4,0,33,170
"17",1,35,263,303,14,507,1645,0,12,55,298,1,341,1737,1,13,12,283,4,296,1610,1,16,12,230,5,239,1601,0,14,3,259,3,265,1680,1,9,136,281,1,369,1648,1,12,59,170,8,215,1522,0,24,27,169,7,180,1535,3,15,13,154,5,163,1402,6,13,4,172,6,179,1317,3,7,59,127,2,162,1086,4,7,114,125,5,190,1003,0,5,51,118,3,138,952
"18",4,5,334,74,1,392,986,0,4,14,86,0,102,1079,1,6,4,85,0,94,971,1,10,23,117,3,142,972,2,5,14,69,2,82,865,0,3,5,84,2,88,878,0,3,9,77,3,77,885,0,6,1,83,6,86,840,0,1,1,84,0,85,862,0,0,2,62,0,64,784,0,3,3,67,0,69,782,0,5,338,56,0,350,648,2,8,81,81,3,114,702
"19",2,2,433,130,0,450,486,3,0,105,126,0,210,486,0,2,13,121,1,130,474,0,6,8,63,4,66,435,3,7,15,79,7,84,414,5,2,15,76,1,84,380,0,3,6,67,0,73,404,1,2,7,65,0,71,428,1,5,6,67,4,70,403,1,6,17,50,4,61,375,0,5,5,56,0,61,374,0,3,34,36,3,60,312,1,2,24,39,2,53,299
"20",1,0,38,45,0,72,488,0,0,1,70,0,71,533,2,4,2,53,2,54,481,0,0,0,44,0,44,479,3,1,1,40,0,42,503,2,1,26,32,0,57,470,1,1,0,27,0,28,446,1,3,1,36,1,37,374,0,0,0,32,0,32,424,0,0,0,22,0,22,432,0,1,0,19,1,19,330,0,1,208,21,0,214,325,0,0,183,23,0,160,353
"21",1,0,6,24,0,30,967,2,5,1,34,0,37,840,2,6,2,9,1,15,849,2,13,1,8,1,19,946,0,8,0,10,0,18,934,0,10,0,9,0,19,951,1,4,0,8,1,11,1034,1,6,0,3,1,8,972,2,6,2,4,2,8,937,1,3,1,1,1,3,841,2,6,1,4,2,8,759,0,0,12,1,0,12,813,0,2,6,4,0,9,763
"22",2,12,14,128,1,139,962,6,8,31,125,2,142,912,2,4,29,136,2,150,901,0,3,31,143,2,165,956,0,3,19,102,1,115,929,2,2,15,67,1,72,808,0,0,15,103,0,115,972,6,4,44,94,3,112,889,2,5,37,71,2,103,931,0,3,24,86,1,108,878,0,7,16,80,0,93,851,3,4,14,60,2,67,652,4,5,12,80,3,85,612
"23",0,0,77,13,0,86,221,0,0,5,24,0,28,228,0,0,2,11,0,13,185,0,0,0,18,0,18,202,0,0,0,25,0,25,211,0,0,2,19,0,21,239,0,0,0,25,0,25,185,0,0,2,23,0,25,189,0,0,7,33,1,41,199,0,0,2,11,0,12,178,0,0,0,11,0,11,131,0,0,120,22,0,131,170,0,0,94,18,0,103,148
"24",5,5,188,55,1,228,787,6,5,7,44,3,47,768,5,6,137,57,2,171,747,7,7,6,58,5,62,816,4,6,6,31,3,37,829,0,5,1,48,2,51,885,4,10,17,33,6,44,768,5,16,21,39,5,61,767,6,8,25,42,6,59,783,1,5,24,54,4,73,683,2,3,18,40,2,48,669,5,3,265,40,2,272,647,0,6,240,30,1,245,544
"25",2,9,14,212,3,219,489,3,5,5,180,0,182,493,2,9,4,203,1,201,551,5,7,19,229,1,235,545,1,3,6,150,0,155,564,3,4,10,132,1,138,561,5,3,3,141,0,143,532,1,2,17,110,0,121,521,0,6,64,132,3,157,482,1,5,97,152,1,182,501,3,2,70,89,0,120,385,13,2,54,108,0,124,379,2,0,32,76,0,81,312
"26",23,33,43,206,23,227,1660,18,28,46,199,18,223,1690,27,33,41,214,25,233,1685,18,35,37,176,26,195,1557,11,33,48,187,29,209,1512,12,31,37,186,26,201,1514,9,24,54,171,23,201,1377,18,33,83,153,31,204,1266,5,16,57,145,15,176,1210,10,22,39,151,20,168,1207,3,27,31,128,25,139,1078,0,27,63,137,25,169,1024,3,15,23,121,13,130,1015
"27",2,8,1,92,5,98,739,3,7,0,105,3,111,703,0,15,0,85,10,95,712,2,10,0,75,6,79,612,0,13,1,53,7,64,665,0,4,11,52,2,59,691,0,2,4,35,1,40,600,0,3,9,44,1,50,567,1,0,21,52,0,59,507,2,5,13,55,2,64,560,4,2,9,56,1,58,466,2,3,16,51,2,58,392,0,2,18,56,1,60,431
"28",0,11,79,16,0,103,1032,0,10,6,26,0,41,1020,0,14,2,17,1,31,1042,0,9,0,14,0,23,781,0,23,0,37,1,56,982,0,17,0,1,1,18,943,0,8,1,0,0,9,950,0,8,5,3,2,12,948,0,4,1,1,2,4,872,0,4,1,1,2,4,864,0,5,0,1,3,5,783,0,0,3,2,0,5,678,0,1,1,0,0,2,613
"29",3,2,5,146,2,148,1279,9,8,6,131,7,132,1206,5,7,5,123,1,128,1236,8,6,5,119,5,120,1147,4,10,16,117,7,121,1295,6,9,9,157,5,163,1286,8,9,10,108,2,119,1148,6,5,14,95,4,102,1294,3,4,20,111,3,127,1164,9,9,21,92,6,107,952,5,5,13,73,2,88,899,3,3,11,61,3,69,860,7,4,7,58,3,60,804
"30",0,0,42,15,0,56,205,0,0,2,13,0,14,192,2,0,2,9,0,11,219,0,0,5,7,0,12,199,0,0,1,13,0,13,200,1,1,1,16,0,16,234,0,1,1,14,0,16,191,0,0,4,12,0,16,187,0,0,7,8,1,14,212,0,0,0,4,0,4,196,0,0,2,10,0,12,197,2,1,8,3,0,11,171,0,0,4,10,0,13,144
"31",0,8,0,40,8,48,327,0,11,0,37,11,46,304,0,7,0,35,5,41,270,0,8,0,34,7,40,245,0,15,0,42,14,53,333,1,6,0,32,5,37,303,0,6,1,32,6,38,269,1,13,0,30,11,42,284,0,10,0,18,10,26,260,0,9,0,34,8,42,291,0,3,0,23,2,25,182,0,10,9,21,10,36,231,1,3,2,23,3,26,149
"32",0,2,1,23,0,26,435,1,8,3,20,4,24,369,1,2,0,8,1,10,335,1,3,1,19,0,20,378,1,3,1,17,2,19,430,1,5,1,26,1,30,434,2,2,2,24,2,24,456,1,5,9,33,2,39,424,6,7,1,39,2,43,503,1,5,1,22,1,23,423,0,1,3,21,0,25,327,1,2,1,10,1,11,246,0,1,5,14,1,18,271
"33",0,0,0,13,0,13,136,1,0,2,21,0,22,160,0,0,2,11,0,12,139,1,0,2,9,0,8,165,0,0,1,5,0,6,145,0,0,0,13,0,13,126,0,0,0,3,0,2,192,0,0,0,10,0,10,163,0,0,2,8,0,10,142,2,0,0,0,0,0,127,3,0,5,0,0,5,146,0,0,1,0,0,1,109,0,0,1,1,0,1,129
"34",17,25,48,60,19,83,955,17,38,57,87,24,111,938,5,21,33,64,12,78,935,5,21,61,68,13,85,965,2,19,57,62,6,90,971,2,18,53,54,6,85,920,5,12,32,30,6,42,882,2,5,50,38,1,58,929,1,7,34,24,3,43,920,1,9,27,28,0,44,870,3,8,39,23,4,49,681,1,5,60,15,2,64,704,4,4,43,28,0,50,661
"35",3,6,377,18,3,378,411,5,7,4,16,4,21,394,5,6,8,22,0,32,443,1,9,3,18,0,26,424,3,7,1,16,1,21,443,1,5,1,13,0,19,388,4,8,6,15,2,24,484,2,10,1,8,2,18,420,2,6,1,17,1,20,410,0,7,2,7,1,12,341,1,2,2,4,1,6,320,0,3,1,0,0,4,348,0,0,0,0,0,0,336
"36",3,28,128,275,18,370,1880,9,39,25,250,18,268,1888,9,41,29,181,28,190,1795,14,23,25,170,11,192,1832,23,33,37,184,18,217,1805,29,30,41,196,18,226,1663,9,21,32,172,7,206,1698,13,28,12,159,5,182,1571,6,15,64,107,8,166,1497,7,22,10,128,7,146,1485,9,16,6,129,5,143,1384,5,14,118,112,5,231,1221,8,16,168,120,5,276,1216
"37",0,2,1499,162,0,1518,1889,2,6,1316,140,1,1341,1769,10,11,176,183,7,331,1863,6,8,60,113,4,169,1730,3,2,56,97,2,147,1799,7,6,110,104,2,201,1823,10,7,53,129,1,176,1787,12,10,65,112,2,165,1709,8,2,37,86,3,116,1727,10,7,50,137,3,173,1797,5,4,23,69,1,90,1513,4,0,18,71,0,81,1480,7,2,27,66,2,82,1399
"38",1,1,1,4,1,4,89,0,0,1,2,0,2,86,0,1,0,5,0,6,70,0,0,0,1,0,1,79,0,0,0,3,0,3,80,0,0,3,5,0,8,91,0,0,0,4,0,4,92,0,1,0,1,0,2,86,0,0,0,0,0,0,93,0,1,0,8,0,9,84,0,0,0,5,0,5,78,0,0,4,2,0,5,96,0,0,2,10,0,11,90
"39",6,10,798,78,8,860,1629,8,12,19,128,10,135,1640,9,4,14,99,4,107,1518,12,6,16,120,4,126,1607,6,8,28,30,5,59,1596,8,5,11,37,3,49,1521,6,8,7,10,5,18,1446,6,11,19,13,9,26,1499,10,11,16,39,9,46,1351,3,3,15,45,2,55,1313,2,8,20,80,5,89,1226,2,4,18,81,3,90,1120,2,8,13,88,5,96,1186
"40",0,6,56,7,2,66,730,0,3,4,3,2,7,688,0,4,2,3,2,5,646,0,7,1,1,1,8,657,0,8,2,3,2,9,722,0,0,2,5,0,7,646,1,4,3,5,2,7,719,0,1,3,8,1,9,724,0,0,1,13,0,13,671,2,2,2,32,0,35,681,7,3,1,35,1,37,631,5,1,15,33,0,41,582,3,1,7,27,0,32,547
"41",0,1,8,53,0,60,557,1,0,0,51,0,51,440,0,1,1,19,0,21,443,1,2,3,9,1,13,488,0,2,1,25,1,28,439,0,4,0,35,1,38,474,0,0,0,35,0,35,439,1,0,1,35,0,35,498,1,2,1,64,1,65,433,2,1,0,60,1,60,406,0,3,2,52,1,52,394,0,1,110,34,1,122,333,0,1,97,34,0,106,286
"42",6,19,80,333,2,357,1816,9,21,81,336,8,367,1811,10,28,78,303,14,336,1789,11,32,62,324,9,357,1856,4,37,138,304,9,382,1903,0,11,128,278,5,320,1808,9,23,134,274,5,324,1790,11,12,97,247,8,284,1842,9,22,160,290,4,338,1683,2,15,135,278,7,317,1761,2,11,93,208,5,234,1524,4,8,88,195,5,216,1393,2,11,72,185,8,214,1381
"44",0,1,1,18,1,18,103,0,1,0,16,1,16,112,0,0,0,18,0,18,94,0,0,0,9,0,9,115,0,1,0,20,1,20,125,0,0,0,20,0,20,131,0,0,0,12,0,12,100,0,2,2,26,2,26,113,0,3,1,16,0,16,85,0,0,0,18,0,18,71,1,0,2,19,0,21,72,0,0,3,16,0,18,86,0,0,2,11,0,8,71
"45",0,8,37,5,0,47,1154,0,13,2,4,2,18,1183,3,16,215,22,8,229,1138,0,3,466,33,0,468,1139,1,10,267,32,1,295,1154,2,11,22,38,2,58,1088,0,8,18,47,0,68,1153,2,6,31,51,2,76,1155,4,10,25,71,1,92,1116,2,11,41,66,2,101,1076,1,6,24,63,3,74,875,0,4,21,51,0,64,886,0,4,27,56,3,67,847
"46",0,1,29,15,0,43,169,0,1,5,19,0,24,145,0,2,16,6,0,24,165,0,1,10,6,0,16,137,0,3,7,11,0,18,150,0,1,16,12,1,24,163,0,1,4,8,0,12,156,0,1,0,26,1,26,160,0,2,1,21,0,23,174,0,0,4,7,0,7,105,0,0,3,7,0,8,109,0,0,4,7,0,11,106,0,0,8,12,0,19,116
"47",4,6,12,52,4,63,1476,2,4,5,51,0,55,1480,4,14,14,69,7,79,1422,2,8,0,57,3,62,1378,2,4,2,68,2,70,1274,0,1,2,68,1,71,1295,3,5,4,81,3,83,1416,4,8,7,75,5,79,1313,1,6,30,98,4,118,1323,6,6,21,63,3,81,1207,6,2,22,58,2,71,995,1,2,18,56,1,69,952,3,2,21,52,0,67,1006
"48",45,46,2802,103,30,2817,3758,20,20,380,72,11,444,3544,21,25,36,84,10,121,3830,26,29,26,88,15,113,3767,29,45,22,109,21,140,3839,24,37,11,97,15,114,3895,24,20,8,100,10,108,3769,18,24,8,53,13,62,3286,26,26,20,162,9,182,3343,33,29,36,179,7,209,3151,32,28,45,201,15,229,3160,23,22,118,184,12,266,2851,26,22,70,196,13,223,2740
"49",5,2,199,15,1,204,396,1,2,81,9,0,90,344,1,2,74,10,0,83,403,1,2,120,17,0,127,302,1,4,131,8,1,140,315,0,4,88,4,0,91,325,0,3,112,12,0,115,301,3,7,100,4,0,108,311,0,2,57,34,0,77,263,2,0,37,37,0,65,274,0,3,29,16,0,44,259,1,0,8,18,0,25,270,0,0,2,9,0,11,224
"50",0,0,4,4,0,8,109,0,1,0,7,0,7,90,0,0,0,3,0,3,69,0,0,1,3,0,3,101,1,1,4,5,0,9,84,0,0,0,6,0,6,78,0,0,3,1,0,3,89,0,0,1,1,0,2,78,0,1,0,1,0,2,86,0,0,0,0,0,0,59,3,0,6,2,0,8,88,0,0,1,2,0,2,64,0,0,6,3,0,7,77
"51",4,14,496,196,9,596,974,3,11,59,154,10,194,939,4,6,67,151,4,207,1118,3,14,71,149,12,191,1075,7,4,54,167,4,203,1018,2,6,60,184,3,231,1032,5,11,79,146,8,168,979,4,8,87,129,6,173,923,5,20,77,142,15,179,1002,8,9,37,123,6,142,1043,2,11,24,40,10,51,816,1,3,21,20,2,37,767,0,2,12,5,1,14,685
"53",1,0,2,25,0,27,722,4,5,3,48,2,52,709,5,11,4,18,2,23,711,0,7,6,28,7,28,735,0,5,6,31,4,33,702,0,2,4,32,2,35,623,1,4,1,37,1,39,576,0,4,2,23,1,27,675,0,4,11,24,1,34,681,1,3,7,61,2,64,608,0,1,13,34,0,43,518,3,1,22,35,0,50,529,2,2,15,40,0,45,480
"54",2,1,2,20,1,20,398,0,2,2,22,0,25,416,0,2,1,10,0,12,450,0,0,1,9,0,9,402,0,0,0,16,0,16,453,0,0,0,16,0,16,409,0,1,2,14,0,16,418,0,2,1,24,0,25,354,1,6,6,71,0,76,396,0,3,2,49,0,52,368,0,2,2,39,0,40,333,0,0,11,38,0,48,356,0,0,7,45,0,52,283
"55",1,1,6,55,1,59,762,1,2,1,60,2,61,794,4,4,18,70,4,81,855,1,0,14,63,0,73,803,0,0,7,50,0,57,877,0,0,5,68,0,71,864,0,3,4,49,1,54,832,2,2,8,69,0,75,806,0,1,2,48,0,50,731,1,3,5,58,1,63,742,2,3,2,50,1,53,643,0,0,13,37,0,45,508,0,1,15,44,1,53,579
"56",0,0,0,1,0,1,124,0,0,1,5,0,5,132,0,0,1,4,0,5,131,0,0,0,2,0,2,147,0,0,2,3,0,5,153,0,0,0,5,0,5,110,1,1,0,5,1,5,125,0,0,1,3,0,4,121,0,0,3,9,0,11,143,0,0,1,1,0,2,102,0,0,2,6,0,8,103,3,0,13,10,0,15,97,0,0,3,3,0,6,100
