"","date","pce","pop","psavert","uempmed","unemploy"
"290",1991-08-01,3985.4,253807,7.9,7.3,8666
"291",1991-09-01,4001.2,254126,8.1,6.8,8722
"292",1991-10-01,3992.9,254435,8.6,7.2,8842
"293",1991-11-01,4020.6,254718,8.4,7.5,8931
"294",1991-12-01,4037.7,254964,9.1,7.8,9198
"295",1992-01-01,4101.9,255214,8.8,8.1,9283
"296",1992-02-01,4116.8,255448,9.2,8.2,9454
"297",1992-03-01,4134.3,255703,9.2,8.3,9460
"298",1992-04-01,4149,255992,9.4,8.5,9415
"299",1992-05-01,4176.1,256285,9.4,8.8,9744
"300",1992-06-01,4195,256589,9.5,8.7,10040
"301",1992-07-01,4223,256894,9.1,8.6,9850
"302",1992-08-01,4239.3,257232,9.2,8.8,9787
"303",1992-09-01,4273.9,257548,8.2,8.6,9781
"304",1992-10-01,4303.5,257861,7.4,9,9398
"305",1992-11-01,4319.5,258147,7.3,9,9565
"306",1992-12-01,4355.6,258413,9.9,9.3,9557
"307",1993-01-01,4359.7,258679,8.3,8.6,9325
"308",1993-02-01,4374.3,258919,8.4,8.5,9183
"309",1993-03-01,4371.4,259152,8.3,8.5,9056
"310",1993-04-01,4412.4,259414,8.2,8.4,9110
"311",1993-05-01,4441.3,259680,7.7,8.1,9149
"312",1993-06-01,4458.8,259963,7.2,8.3,9121
"313",1993-07-01,4487.7,260255,7,8.2,8930
"314",1993-08-01,4499.9,260566,7.1,8.2,8763
"315",1993-09-01,4530.5,260867,6.3,8.3,8714
"316",1993-10-01,4552,261163,5.6,8,8750
"317",1993-11-01,4573.4,261425,5.6,8.3,8542
"318",1993-12-01,4590.7,261674,8.4,8.3,8477
"319",1994-01-01,4604.8,261919,6.4,8.6,8630
"320",1994-02-01,4652.3,262123,5.9,9.2,8583
"321",1994-03-01,4665.4,262352,6.2,9.3,8470
"322",1994-04-01,4690.7,262631,5.8,9.1,8331
"323",1994-05-01,4689.2,262877,7.1,9.2,7915
"324",1994-06-01,4728.8,263152,6.3,9.3,7927
"325",1994-07-01,4740.8,263436,6.4,9,7946
"326",1994-08-01,4783,263724,5.9,8.9,7933
"327",1994-09-01,4795.5,264017,6.2,9.2,7734
"328",1994-10-01,4833.3,264301,6.5,10,7632
"329",1994-11-01,4846,264559,6.4,9,7375
"330",1994-12-01,4862.3,264804,6.5,8.7,7230
"331",1995-01-01,4871.9,265044,6.9,8,7375
"332",1995-02-01,4871.7,265270,7.3,8.1,7187
"333",1995-03-01,4906.5,265495,7,8.3,7153
"334",1995-04-01,4911.5,265755,6.3,8.3,7645
"335",1995-05-01,4954.4,265998,6.5,9.1,7430
"336",1995-06-01,4999,266270,6.1,7.9,7427
"337",1995-07-01,4991.8,266557,6.4,8.5,7527
"338",1995-08-01,5027.1,266843,6.1,8.3,7484
"339",1995-09-01,5042.5,267152,6.1,7.9,7478
"340",1995-10-01,5035.9,267456,6.5,8.2,7328
"341",1995-11-01,5077.8,267715,6,8,7426
"342",1995-12-01,5120.1,267943,5.5,8.3,7423
"343",1996-01-01,5108.9,268151,6.1,8.3,7491
"344",1996-02-01,5156.1,268364,6.1,7.8,7313
"345",1996-03-01,5196.4,268595,6,8.3,7318
"346",1996-04-01,5231.6,268853,5,8.6,7415
"347",1996-05-01,5247.2,269108,6.1,8.6,7423
"348",1996-06-01,5253.7,269386,6.5,8.3,7095
"349",1996-07-01,5275.8,269667,6.1,8.3,7337
"350",1996-08-01,5299,269976,5.9,8.4,6882
"351",1996-09-01,5320,270284,6,8.5,6979
"352",1996-10-01,5351.5,270581,5.8,8.3,7031
"353",1996-11-01,5375,270878,5.8,7.7,7236
"354",1996-12-01,5401.7,271125,5.7,7.8,7253
"355",1997-01-01,5434.9,271360,5.6,7.8,7158
"356",1997-02-01,5457.7,271585,5.7,8.1,7102
"357",1997-03-01,5477.6,271821,5.8,7.9,7000
"358",1997-04-01,5482.8,272083,5.9,8.3,6873
"359",1997-05-01,5484.3,272342,6.2,8,6655
"360",1997-06-01,5518.2,272622,6,8,6799
"361",1997-07-01,5573,272912,5.5,8.3,6655
"362",1997-08-01,5611.8,273237,5.4,7.8,6608
"363",1997-09-01,5625.6,273553,5.6,8.2,6656
"364",1997-10-01,5661.2,273852,5.6,7.7,6454
"365",1997-11-01,5685.2,274126,5.8,7.6,6308
"366",1997-12-01,5716.4,274372,5.8,7.5,6476
"367",1998-01-01,5714.4,274626,6.7,7.4,6368
"368",1998-02-01,5748.4,274838,6.8,7,6306
"369",1998-03-01,5775,275047,6.9,6.8,6422
"370",1998-04-01,5812.9,275304,6.6,6.7,5941
"371",1998-05-01,5863.3,275564,6.3,6,6047
"372",1998-06-01,5897.2,275836,6.2,6.9,6212
"373",1998-07-01,5915.6,276115,6.3,6.7,6259
"374",1998-08-01,5951,276418,6.2,6.8,6179
"375",1998-09-01,5991.8,276714,5.8,6.7,6300
"376",1998-10-01,6025.8,277003,5.6,5.8,6280
"377",1998-11-01,6042.7,277277,5.7,6.6,6100
"378",1998-12-01,6098.2,277526,5.2,6.8,6032
"379",1999-01-01,6099.1,277790,5.7,6.9,5976
"380",1999-02-01,6128.2,277992,5.6,6.8,6111
"381",1999-03-01,6159.7,278198,5.3,6.8,5783
"382",1999-04-01,6223.6,278451,4.5,6.2,6004
"383",1999-05-01,6253.4,278717,4.3,6.5,5796
"384",1999-06-01,6281.9,279001,4.2,6.3,5951
"385",1999-07-01,6309.5,279295,4.1,5.8,6025
"386",1999-08-01,6354.8,279602,4,6.5,5838
"387",1999-09-01,6407.4,279903,3.5,6,5915
"388",1999-10-01,6431.2,280203,3.9,6.1,5778
"389",1999-11-01,6467.2,280471,4.1,6.2,5716
"390",1999-12-01,6568.2,280716,3.7,5.8,5653
"391",2000-01-01,6564.7,280976,4.7,5.8,5708
"392",2000-02-01,6648.7,281190,4.2,6.1,5858
"393",2000-03-01,6714.8,281409,3.9,6,5733
"394",2000-04-01,6701,281653,4.4,6.1,5481
"395",2000-05-01,6737.2,281877,4.2,5.8,5758
"396",2000-06-01,6773.6,282126,4.2,5.7,5651
"397",2000-07-01,6793.7,282385,4.6,6,5747
"398",2000-08-01,6828.7,282653,4.6,6.3,5853
"399",2000-09-01,6913.1,282932,3.8,5.2,5625
"400",2000-10-01,6919.6,283201,4,6.1,5534
"401",2000-11-01,6934.5,283453,3.8,6.1,5639
"402",2000-12-01,6979.1,283696,3.5,6,5634
"403",2001-01-01,7009.8,283920,4,5.8,6023
"404",2001-02-01,7029.3,284137,4.1,6.1,6089
"405",2001-03-01,7022.1,284350,4.5,6.6,6141
"406",2001-04-01,7036.2,284581,4.3,5.9,6271
"407",2001-05-01,7083.1,284810,3.7,6.3,6226
"408",2001-06-01,7097.1,285062,3.7,6,6484
"409",2001-07-01,7109.2,285309,5,6.8,6583
"410",2001-08-01,7146.1,285570,6.1,6.9,7042
"411",2001-09-01,7054.8,285843,6.3,7.2,7142
"412",2001-10-01,7250.2,286098,2.7,7.3,7694
"413",2001-11-01,7209.6,286341,3.4,7.7,8003
"414",2001-12-01,7190,286570,3.8,8.2,8258
"415",2002-01-01,7217.7,286788,5.6,8.4,8182
"416",2002-02-01,7259.7,286994,5.3,8.3,8215
"417",2002-03-01,7276.7,287190,5.3,8.4,8304
"418",2002-04-01,7345.6,287397,5.1,8.9,8599
"419",2002-05-01,7321.8,287623,5.6,9.5,8399
"420",2002-06-01,7366.1,287864,5.4,11,8393
"421",2002-07-01,7424.2,288105,4.6,8.9,8390
"422",2002-08-01,7449,288360,4.4,9,8304
"423",2002-09-01,7426.1,288618,4.9,9.5,8251
"424",2002-10-01,7469.3,288870,4.7,9.6,8307
"425",2002-11-01,7499.8,289106,4.7,9.3,8520
"426",2002-12-01,7552.6,289313,4.5,9.6,8640
"427",2003-01-01,7579.5,289518,4.5,9.6,8520
"428",2003-02-01,7573.6,289714,4.7,9.5,8618
"429",2003-03-01,7627.5,289911,4.6,9.7,8588
"430",2003-04-01,7661.7,290125,4.6,10.2,8842
"431",2003-05-01,7669.2,290346,5.1,9.9,8957
"432",2003-06-01,7722.9,290584,4.9,11.5,9266
"433",2003-07-01,7783.8,290820,5.5,10.3,9011
"434",2003-08-01,7878.9,291072,5.3,10.1,8896
"435",2003-09-01,7874,291321,4.5,10.2,8921
"436",2003-10-01,7890.6,291574,4.6,10.4,8732
"437",2003-11-01,7950.4,291807,4.7,10.3,8576
"438",2003-12-01,7974.3,292008,4.8,10.4,8317
"439",2004-01-01,8037.3,292192,4.5,10.6,8370
"440",2004-02-01,8072.1,292368,4.5,10.2,8167
"441",2004-03-01,8121,292561,4.5,10.2,8491
"442",2004-04-01,8141.6,292779,4.7,9.5,8170
"443",2004-05-01,8212.9,292997,4.7,9.9,8212
"444",2004-06-01,8204.6,293223,5,11,8286
"445",2004-07-01,8270.7,293463,4.5,8.9,8136
"446",2004-08-01,8294.4,293719,4.6,9.2,7990
"447",2004-09-01,8373,293971,3.9,9.6,7927
"448",2004-10-01,8417.9,294230,3.8,9.5,8061
"449",2004-11-01,8458.4,294466,3.4,9.7,7932
"450",2004-12-01,8516.5,294694,6.3,9.5,7934
"451",2005-01-01,8521.2,294914,2.9,9.4,7784
"452",2005-02-01,8575.7,295105,2.7,9.2,7980
"453",2005-03-01,8622.5,295287,2.7,9.3,7737
"454",2005-04-01,8715.9,295490,2.1,9,7672
"455",2005-05-01,8680.6,295704,3,9.1,7651
"456",2005-06-01,8775.3,295936,2.2,9,7524
"457",2005-07-01,8867.9,296186,1.9,8.8,7406
"458",2005-08-01,8872.6,296440,2.4,9.2,7345
"459",2005-09-01,8923.6,296707,2.3,8.4,7553
"460",2005-10-01,8959.6,296972,2.6,8.6,7453
"461",2005-11-01,8987.7,297207,2.7,8.5,7566
"462",2005-12-01,9026.8,297431,2.8,8.7,7279
"463",2006-01-01,9100.1,297647,3.7,8.6,7064
"464",2006-02-01,9134.7,297854,3.8,9.1,7184
"465",2006-03-01,9168.1,298060,3.7,8.7,7072
"466",2006-04-01,9223.3,298281,3.4,8.4,7120
"467",2006-05-01,9254.1,298496,3.2,8.5,6980
"468",2006-06-01,9283.8,298739,3.4,7.3,7001
"469",2006-07-01,9360.4,298996,2.9,8,7175
"470",2006-08-01,9368.6,299263,3,8.4,7091
"471",2006-09-01,9393.9,299554,3,8,6847
"472",2006-10-01,9413.3,299835,3.1,7.9,6727
"473",2006-11-01,9431.2,300094,3.2,8.3,6872
"474",2006-12-01,9516.5,300340,3,7.5,6762
"475",2007-01-01,9553.1,300574,3,8.3,7116
"476",2007-02-01,9590.8,300802,3.3,8.5,6927
"477",2007-03-01,9631.6,301021,3.6,9.1,6731
"478",2007-04-01,9670.6,301254,3.2,8.6,6850
"479",2007-05-01,9708.9,301483,3,8.2,6766
"480",2007-06-01,9723.3,301739,2.8,7.7,6979
"481",2007-07-01,9759.6,302004,2.8,8.7,7149
"482",2007-08-01,9800.6,302267,2.6,8.8,7067
"483",2007-09-01,9837.5,302546,2.8,8.7,7170
"484",2007-10-01,9853.9,302807,2.8,8.4,7237
"485",2007-11-01,9928.6,303054,2.5,8.6,7240
"486",2007-12-01,9947.6,303287,3,8.4,7645
"487",2008-01-01,9963.2,303506,3.4,9,7685
"488",2008-02-01,9955.7,303711,3.9,8.7,7497
"489",2008-03-01,10004.2,303907,4,8.7,7822
"490",2008-04-01,10044.6,304117,3.5,9.4,7637
"491",2008-05-01,10093.3,304323,7.9,7.9,8395
"492",2008-06-01,10149.4,304556,5.6,9,8575
"493",2008-07-01,10151.1,304798,4.4,9.7,8937
"494",2008-08-01,10140.3,305045,3.7,9.7,9438
"495",2008-09-01,10083.2,305309,4.4,10.2,9494
"496",2008-10-01,9983.3,305554,5.4,10.4,10074
"497",2008-11-01,9851.2,305786,6.3,9.8,10538
"498",2008-12-01,9744.2,306004,6.5,10.5,11286
"499",2009-01-01,9792.1,306208,6.5,10.7,12058
"500",2009-02-01,9775.7,306402,5.9,11.7,12898
"501",2009-03-01,9742.9,306588,6.1,12.3,13426
"502",2009-04-01,9741.9,306787,6.7,13.1,13853
"503",2009-05-01,9759.7,306984,8.1,14.2,14499
"504",2009-06-01,9807.6,307206,6.7,17.2,14707
"505",2009-07-01,9835.2,307439,6,16,14601
"506",2009-08-01,9961.9,307685,4.9,16.3,14814
"507",2009-09-01,9875.4,307946,5.9,17.8,15009
"508",2009-10-01,9924.6,308189,5.4,18.9,15352
"509",2009-11-01,9946.1,308418,5.7,19.8,15219
"510",2009-12-01,10000.6,308633,5.7,20.1,15098
"511",2010-01-01,10003.4,308833,5.6,20,15046
"512",2010-02-01,10034.7,309027,5.2,19.9,15113
"513",2010-03-01,10095.5,309212,5,20.4,15202
"514",2010-04-01,10106.9,309191,5.6,22.1,15325
"515",2010-05-01,10140.2,309376,6,22.3,14849
"516",2010-06-01,10165.9,309562,5.9,25.2,14474
"517",2010-07-01,10184.3,309767,5.9,22.3,14512
"518",2010-08-01,10247.1,309989,5.8,21,14648
"519",2010-09-01,10268.9,310218,5.6,20.3,14579
"520",2010-10-01,10343.7,310451,5.4,21.2,14516
"521",2010-11-01,10399.8,310657,5.3,21,15081
"522",2010-12-01,10436.1,310853,5.9,21.9,14348
"523",2011-01-01,10474.7,311042,6.2,21.6,14046
"524",2011-02-01,10512.4,311205,6.4,21.1,13828
"525",2011-03-01,10583.5,311367,6,21.5,13728
"526",2011-04-01,10624.6,311548,5.9,20.9,13956
"527",2011-05-01,10653.1,311729,5.9,21.6,13853
"528",2011-06-01,10676.4,311923,6.1,22.3,13958
"529",2011-07-01,10727.1,312139,6.3,22,13756
"530",2011-08-01,10745.6,312355,6.2,22.4,13806
"531",2011-09-01,10790.6,312587,5.7,22,13929
"532",2011-10-01,10827.6,312810,5.5,20.5,13599
"533",2011-11-01,10828.7,313003,5.6,20.9,13309
"534",2011-12-01,10827.3,313191,6.4,20.5,13071
"535",2012-01-01,10905.5,313373,6.6,21,12812
"536",2012-02-01,10979.2,313537,6.7,19.8,12828
"537",2012-03-01,10994.3,313705,6.9,19.2,12696
"538",2012-04-01,11030.2,313881,7,19.1,12636
"539",2012-05-01,11029,314052,7,19.9,12668
"540",2012-06-01,11032.5,314247,7.1,20.1,12688
"541",2012-07-01,11074.8,314449,6.6,17.5,12657
"542",2012-08-01,11104.8,314673,6.4,18.5,12449
"543",2012-09-01,11179.6,314909,6.5,18.8,12106
"544",2012-10-01,11199.9,315129,7.1,19.7,12141
"545",2012-11-01,11222.8,315341,8.2,18.5,12026
"546",2012-12-01,11245.2,315532,10.5,17.6,12272
"547",2013-01-01,11303.2,315701,4.5,16.2,12497
"548",2013-02-01,11371.4,315869,4.7,17.5,11967
"549",2013-03-01,11378.8,316041,4.9,17.7,11653
"550",2013-04-01,11373.3,316220,5.1,17.1,11735
"551",2013-05-01,11407.1,316395,5.2,17,11671
"552",2013-06-01,11462.4,316594,5.3,16.6,11736
"553",2013-07-01,11484.7,316799,5.1,16.3,11357
"554",2013-08-01,11511.6,317019,5.3,16.8,11241
"555",2013-09-01,11559.6,317253,5.2,16.5,11251
"556",2013-10-01,11602.1,317470,4.7,16.1,11161
"557",2013-11-01,11671.5,317679,4.3,17,10814
"558",2013-12-01,11686.3,317867,4.1,17,10376
"559",2014-01-01,11663.9,318032,4.9,15.9,10280
"560",2014-02-01,11714.4,318200,5,16.2,10387
"561",2014-03-01,11807.1,318373,4.8,15.9,10384
"562",2014-04-01,11825.2,318552,5,15.6,9696
"563",2014-05-01,11864.3,318728,5.1,14.5,9761
"564",2014-06-01,11922.6,318927,5.1,13.2,9453
"565",2014-07-01,11944.4,319133,5.1,13.5,9648
"566",2014-08-01,12017,319354,4.7,13.3,9568
"567",2014-09-01,12044.6,319588,4.6,13.3,9237
"568",2014-10-01,12096.4,319804,4.6,13.5,8983
"569",2014-11-01,12142.2,320013,4.5,12.8,9071
"570",2014-12-01,12122,320201,5,12.6,8688
"571",2015-01-01,12080.8,320367,5.5,13.4,8979
"572",2015-02-01,12095.9,320534,5.7,13.1,8705
"573",2015-03-01,12161.5,320707,5.2,12.2,8575
"574",2015-04-01,12158.9,320887,5.6,11.7,8549
